Family	A11	A12	A13	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	taxonomy
Rhodothermaceae	0	0	2.73E-07	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;unclassified;o__Bacteroidetes_Order_II._Incertae_sedis;f__Rhodothermaceae
Balneolaceae	8.88E-05	9.98E-05	0.000106035	0.009912577	0.003117751	0.000159269	0.00019496	0.000165503	0.020209449	0.007332887	0.004019038	k__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae
Calditrichaceae	0	0	5.47E-07	0	0	0	3.25E-07	0	2.52E-07	6.10E-07	3.38E-07	k__Bacteria;p__Calditrichaeota;c__Calditrichia;o__Calditrichales;f__Calditrichaceae
Chlamydiaceae	0	0	2.73E-07	0	0	0	0	0	0	0	0	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae
Criblamydiaceae	0	0	0	0	0	0	0	0	2.52E-07	0	0	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Criblamydiaceae
Parachlamydiaceae	0	0	0	0	0	0	0	0	2.52E-07	0	0	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae
Rhabdochlamydiaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Rhabdochlamydiaceae
Simkaniaceae	0	0	2.73E-07	4.37E-07	0	6.89E-07	6.50E-07	9.70E-07	1.01E-06	1.22E-06	8.44E-07	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Simkaniaceae
Waddliaceae	0	0	0	8.29E-06	7.21E-06	0	0	0	5.26E-05	1.46E-05	1.76E-05	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Waddliaceae
Chlorobiaceae	7.04E-06	3.34E-06	5.19E-06	7.86E-06	9.13E-06	5.86E-06	4.87E-06	4.53E-06	6.04E-06	8.85E-06	1.32E-05	k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae
Anaerolineaceae	3.52E-06	2.67E-06	2.46E-06	4.37E-07	4.95E-05	1.03E-06	6.17E-06	1.62E-06	2.01E-06	7.02E-06	3.04E-06	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae
Ardenticatenaceae	0	0	2.73E-07	0	2.40E-06	0	6.50E-07	0	2.52E-07	6.10E-07	0	k__Bacteria;p__Chloroflexi;c__Ardenticatenia;o__Ardenticatenales;f__Ardenticatenaceae
Caldilineaceae	0	0	0	4.37E-07	4.81E-07	0	0	0	2.77E-06	0	3.38E-07	k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae
Phototrophicaceae	2.93E-06	4.34E-06	4.65E-06	1.75E-05	1.15E-05	3.79E-06	6.50E-06	3.56E-06	1.01E-05	7.02E-06	5.74E-06	k__Bacteria;p__Chloroflexi;c__Candidatus_Thermofonsia;o__Phototrophicales;f__Phototrophicaceae
Dehalococcoidaceae	0	3.34E-07	0	0	4.81E-07	6.89E-07	6.50E-07	0	2.27E-06	6.10E-07	2.03E-06	k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae
Thermogemmatisporaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae
Tepidiformaceae	0	0	0	0	0	3.45E-07	0	0	0	3.05E-07	0	k__Bacteria;p__Chloroflexi;c__Tepidiformia;o__Tepidiformales;f__Tepidiformaceae
Sphaerobacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__Sphaerobacteraceae
Chrysiogenaceae	2.93E-07	1.00E-06	5.47E-07	1.31E-06	9.62E-07	0	0	0	1.76E-06	4.58E-06	1.69E-07	k__Bacteria;p__Chrysiogenetes;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae
Gloeobacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Gloeobacteria;o__Gloeobacterales;f__Gloeobacteraceae
Aphanothecaceae	0	0	0	0	0	0	0	0	0	2.14E-06	6.76E-07	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae
Chroococcaceae	2.93E-07	0	0	0	4.81E-07	0	0	3.23E-07	0	0	5.07E-07	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Chroococcaceae
Geminocystaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Geminocystaceae
Microcystaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Microcystaceae
Coleofasciculaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Coleofasciculaceae
Cyanothecaceae	2.05E-05	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Cyanothecaceae
Microcoleaceae	0	0	0	3.93E-06	1.01E-05	1.03E-06	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Microcoleaceae
Oscillatoriaceae	2.93E-07	1.34E-06	2.73E-07	4.37E-07	0.000107691	3.45E-07	3.25E-07	3.23E-07	0	9.15E-07	0	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Oscillatoriaceae
Chroococcidiopsidaceae	0	0	1.91E-06	8.73E-07	4.33E-06	1.03E-06	0	0	7.55E-07	0	2.20E-06	k__Bacteria;p__Cyanobacteria;unclassified;o__Chroococcidiopsidales;f__Chroococcidiopsidaceae
Aphanizomenonaceae	4.11E-06	0	8.20E-07	0	9.62E-07	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Nostocales;f__Aphanizomenonaceae
Calotrichaceae	0	3.34E-07	5.47E-07	2.62E-06	1.92E-06	3.45E-07	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Nostocales;f__Calotrichaceae
Hapalosiphonaceae	0	3.67E-06	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Nostocales;f__Hapalosiphonaceae
Nostocaceae	5.86E-07	0	2.46E-06	5.67E-06	5.77E-06	0	0	0	5.54E-06	5.49E-06	2.53E-06	k__Bacteria;p__Cyanobacteria;unclassified;o__Nostocales;f__Nostocaceae
Rivulariaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Nostocales;f__Rivulariaceae
Dermocarpellaceae	0	0	0	0	0	0	6.50E-07	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Pleurocapsales;f__Dermocarpellaceae
Hyellaceae	0	0	0	1.05E-05	0	0	0	6.46E-07	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Pleurocapsales;f__Hyellaceae
Leptolyngbyaceae	0	0	0	4.37E-07	0	0	0	0	1.01E-06	6.10E-07	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Pseudanabaenales;f__Leptolyngbyaceae
Pseudanabaenaceae	2.93E-07	0	0	4.37E-07	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Pseudanabaenales;f__Pseudanabaenaceae
Acaryochloridaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Synechococcales;f__Acaryochloridaceae
Chamaesiphonaceae	0	3.34E-07	0	8.73E-07	0	3.45E-07	0	1.62E-06	2.52E-07	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Synechococcales;f__Chamaesiphonaceae
Merismopediaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Synechococcales;f__Merismopediaceae
Prochlorococcaceae	5.28E-06	0	0	0	0	0	0	0	1.01E-06	0	0	k__Bacteria;p__Cyanobacteria;unclassified;o__Synechococcales;f__Prochlorococcaceae
Synechococcaceae	8.80E-07	4.67E-06	1.91E-06	4.37E-07	1.44E-06	1.03E-06	6.50E-07	1.29E-06	3.27E-06	1.83E-06	1.18E-06	k__Bacteria;p__Cyanobacteria;unclassified;o__Synechococcales;f__Synechococcaceae
Calditerrivibrionaceae	0	0	0	0	0	0	0	3.23E-07	0	0	0	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Calditerrivibrionaceae
Geovibrionaceae	0	0	5.47E-07	0	0	0	0	0	0	0	1.69E-07	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Geovibrionaceae
Deinococcaceae	0	6.68E-07	0	0	9.62E-07	0	0	0	1.51E-06	0	3.38E-07	k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae
Thermaceae	0	0	0	0	0	0	9.75E-07	6.46E-07	0	0	0	k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae
Trueperaceae	2.93E-07	0	5.47E-07	3.93E-06	2.88E-06	1.03E-06	6.50E-07	9.70E-07	1.26E-06	6.10E-07	1.18E-06	k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae
Alicyclobacillaceae	5.86E-07	2.67E-06	2.73E-07	1.31E-06	4.81E-06	3.45E-07	3.25E-07	3.23E-07	0	6.10E-07	1.69E-07	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae
Bacillaceae	4.96E-05	0.000197265	8.34E-05	0.00113016	0.000816817	0.00016513	0.000101704	7.85E-05	0.000319758	0.000189712	0.00017057	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae
Listeriaceae	2.93E-07	6.68E-07	1.64E-06	3.49E-06	1.92E-06	0	0	0	7.55E-07	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae
Paenibacillaceae	1.79E-05	7.34E-06	8.75E-06	3.32E-05	6.73E-06	3.10E-06	1.95E-06	1.62E-06	3.52E-06	2.44E-06	2.87E-06	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae
Planococcaceae	0.001103695	0.000972304	0.001440489	0.000784869	0.000420187	0.000454021	0.000574806	0.000455779	0.001073329	0.000575541	0.00041207	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae
Sporolactobacillaceae	0	0	0	0	9.62E-07	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae
Staphylococcaceae	8.21E-06	1.03E-05	1.50E-05	0.000109131	0.000939412	1.83E-05	5.85E-06	1.71E-05	3.37E-05	3.11E-05	3.07E-05	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae
Thermoactinomycetaceae	0	6.68E-07	8.20E-07	8.73E-07	2.88E-06	1.03E-06	3.25E-07	0	1.76E-06	3.05E-07	1.01E-06	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae
Aerococcaceae	2.05E-06	1.00E-06	3.28E-06	6.11E-06	1.39E-05	1.48E-05	3.90E-06	1.13E-05	6.55E-06	9.15E-06	6.25E-06	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae
Carnobacteriaceae	3.23E-06	3.34E-07	2.46E-06	3.32E-05	2.88E-05	2.07E-06	0	2.59E-06	1.56E-05	1.95E-05	7.60E-06	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae
Enterococcaceae	0.000121395	0.000209614	0.000119426	0.000125282	0.000125479	0.000129277	0.000912736	0	6.80E-05	7.20E-05	1.52E-05	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae
Lactobacillaceae	4.40E-06	8.01E-06	1.91E-06	7.64E-05	0.000111056	8.62E-06	9.42E-06	1.07E-05	4.38E-05	2.93E-05	2.01E-05	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae
Streptococcaceae	6.77E-05	6.54E-05	5.49E-05	5.50E-05	0.001256235	9.03E-05	0.000140696	0.000125743	3.37E-05	1.65E-05	2.82E-05	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
Christensenellaceae	0	3.34E-07	0	1.09E-05	0.000425476	1.72E-06	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae
Clostridiaceae	0.000123154	0.000707616	9.65E-05	0.001802406	0.001233158	0.000247178	0.000261896	0.00021205	0.000458236	0.000407789	0.00027477	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae
Desulfallaceae	0	0	0	0	0	0	3.25E-07	0	5.04E-07	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfallaceae
Desulfitobacteriaceae	0	1.34E-06	0	8.73E-07	0	1.03E-06	0	3.23E-07	5.04E-07	0	3.38E-07	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae
Desulfotomaculaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfotomaculaceae
Eubacteriaceae	8.80E-06	1.34E-06	3.55E-06	0	1.25E-05	1.03E-06	0	6.46E-07	2.01E-06	6.10E-06	1.45E-05	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae
Eubacteriales_Family_XIII._Incertae_Sedis	0	0	0	0	5.77E-06	6.89E-07	0	2.59E-06	2.52E-06	0	3.38E-07	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII._Incertae_Sedis
Heliobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Heliobacteriaceae
Lachnospiraceae	0.000173882	0.000134847	0.000157413	0.000634269	0.005332147	0.00035715	0.000196584	0.000428949	0.000190344	0.000116511	8.51E-05	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae
Oscillospiraceae	6.01E-05	4.14E-05	0.000104668	4.32E-05	0.00052259	8.62E-05	0.000105278	0.000134148	2.22E-05	3.20E-05	1.66E-05	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae
Peptococcaceae	5.86E-07	0	0	4.37E-07	1.44E-06	1.03E-06	3.57E-06	6.46E-07	0	1.22E-06	6.76E-07	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae
Peptostreptococcaceae	0.000699632	0.000619497	0.001059528	0.000422118	0.000495186	0.001128331	0.00135562	0.00141938	0.000166425	0.000146097	0.000138989	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae
Proteinivoraceae	5.86E-07	3.34E-07	0	0	4.81E-07	1.03E-06	9.75E-07	2.59E-06	2.52E-07	1.22E-06	3.55E-06	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Proteinivoraceae
Symbiobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Symbiobacteriaceae
Syntrophomonadaceae	0	3.34E-07	1.09E-06	1.31E-06	1.92E-06	0	0	0	2.52E-07	3.05E-07	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Syntrophomonadaceae
Thermincolaceae	0	0	0	0	0	3.45E-07	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Thermincolaceae
Vallitaleaceae	1.76E-06	3.00E-06	4.37E-06	6.11E-06	2.50E-05	6.21E-06	4.55E-06	1.07E-05	2.52E-06	2.75E-06	4.90E-06	k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Vallitaleaceae
Thermoanaerobacteraceae	0	3.34E-07	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae
Thermoanaerobacterales_Family_III._Incertae_Sedis	0	0	0	4.37E-07	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacterales_Family_III._Incertae_Sedis
Tepidanaerobacteraceae	0	0	0	0	0	0	0	0	0	0	1.69E-07	k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermosediminibacterales;f__Tepidanaerobacteraceae
Coprobacillaceae	0	1.57E-05	0	0	9.62E-07	0	0	3.56E-06	0	0	0	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae
Erysipelotrichaceae	4.22E-05	2.07E-05	5.82E-05	2.62E-06	6.15E-05	5.27E-05	2.14E-05	2.46E-05	5.29E-06	3.54E-05	1.86E-06	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae
Turicibacteraceae	3.75E-05	2.64E-05	2.68E-05	0.00132092	0.000893739	3.90E-05	4.22E-05	2.88E-05	0.000399068	0.000305613	0.000213635	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae
Acidaminococcaceae	5.86E-06	6.68E-06	0	0	1.92E-05	6.55E-06	0	0	0	0	1.18E-06	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae
Selenomonadaceae	5.57E-06	3.00E-06	2.46E-06	0	0.00022644	3.10E-06	2.60E-06	1.75E-05	0	9.76E-06	0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae
Sporomusaceae	0	0	0	4.37E-07	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae
Veillonellaceae	0	0	0	1.31E-05	0.000240382	0	0	2.26E-06	0	1.83E-06	0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae
Gottschalkiaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae
Peptoniphilaceae	0	0	0	3.93E-06	4.76E-05	1.41E-05	0	2.00E-05	0	1.53E-06	1.86E-06	k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae
Tissierellaceae	4.98E-06	1.34E-06	8.20E-07	4.37E-07	1.92E-06	5.52E-06	4.55E-06	1.26E-05	1.01E-06	2.75E-06	1.11E-05	k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae
Fusobacteriaceae	0.000156288	0.000156543	0.000188294	8.73E-07	3.37E-06	0	0	0	2.52E-07	3.36E-06	0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae
Leptotrichiaceae	0	0	1.91E-06	0	0	0	0	0	5.04E-07	0	1.69E-07	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae
Gemmatimonadaceae	2.93E-07	0	0	4.37E-07	0	3.45E-07	0	3.23E-07	7.55E-07	0	0	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
Ignavibacteriaceae	0	1.00E-06	2.73E-07	3.06E-06	2.40E-06	0	0	1.29E-06	1.01E-06	2.14E-06	3.38E-07	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae
Melioribacteraceae	5.86E-07	0	0	0	9.62E-07	0	0	0	2.52E-07	0	1.69E-07	k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae
Kiritimatiellaceae	1.76E-05	1.77E-05	1.04E-05	0	5.43E-05	1.93E-05	9.75E-06	1.62E-05	2.95E-05	3.14E-05	2.26E-05	k__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__Kiritimatiellales;f__Kiritimatiellaceae
Tichowtungiaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Kiritimatiellaeota;c__Tichowtungiia;o__Tichowtungiales;f__Tichowtungiaceae
Nitrospinaceae	0.00033105	0.000583115	0.000576086	7.03E-05	3.61E-05	0.000566062	0.000389919	0.000357188	1.36E-05	8.24E-06	8.44E-07	k__Bacteria;p__Nitrospinae;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae
Nitrospiraceae	1.94E-05	1.44E-05	1.75E-05	2.05E-05	6.44E-05	3.03E-05	1.69E-05	1.52E-05	9.82E-06	5.49E-06	2.03E-06	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae
Dissulfurispiraceae	0	0	0	0	0	0	0	3.23E-07	0	0	0	k__Bacteria;p__Nitrospirae;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae
Candidatus_Brocadiaceae	2.93E-07	1.34E-06	2.46E-06	1.09E-05	2.84E-05	3.45E-06	3.90E-06	6.46E-07	3.78E-06	1.10E-05	1.86E-06	k__Bacteria;p__Planctomycetes;c__Candidatus_Brocadiia;o__Candidatus_Brocadiales;f__Candidatus_Brocadiaceae
Candidatus_Scalinduaceae	0	0	0	4.02E-05	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Candidatus_Brocadiia;o__Candidatus_Brocadiales;f__Candidatus_Scalinduaceae
Candidatus_Uabimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Candidatus_Uabimicrobiia;o__Candidatus_Uabimicrobiales;f__Candidatus_Uabimicrobiaceae
Phycisphaeraceae	5.86E-07	0	2.73E-07	3.93E-06	2.40E-06	3.45E-07	3.25E-07	0	1.26E-06	3.05E-07	6.76E-07	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae
Anaerohalosphaeraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalosphaeraceae
Sedimentisphaeraceae	5.86E-07	1.00E-06	0	4.37E-07	1.01E-05	0	0	0	1.76E-06	0	0	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae
Tepidisphaeraceae	5.86E-07	0	0	0	1.44E-06	0	0	0	5.04E-07	1.22E-06	1.69E-07	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae
Gemmataceae	0	0	0	4.37E-07	4.81E-07	2.07E-06	0	0	0	0	0	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae
