Family	A11	A12	A13	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	taxonomy
Isosphaeraceae	2.35E-06	1.34E-06	2.73E-06	2.75E-05	4.90E-05	0	0	1.29E-06	2.27E-06	9.15E-07	8.44E-07	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae
Lacipirellulaceae	3.81E-06	0.000544063	8.47E-06	6.59E-05	7.84E-05	7.24E-06	6.50E-06	5.82E-06	0.000366085	1.77E-05	0.000463073	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Lacipirellulaceae
Pirellulaceae	0.021376024	0.027377046	0.028464066	0.008424905	0.009371522	0.024108298	0.037528444	0.029806973	0.004678787	0.002495841	0.001586978	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae
Planctomycetaceae	0.010639043	0.010971046	0.015371224	0.070340973	0.057944496	0.011156793	0.016206351	0.015029068	0.025413444	0.019833749	0.007669746	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae
Acidithiobacillaceae	3.20E-05	2.24E-05	9.97E-05	3.40E-05	0.000191825	2.62E-05	1.14E-05	1.29E-06	1.59E-05	4.00E-05	1.69E-07	k__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae
Caulobacteraceae	7.07E-05	9.31E-05	8.75E-05	4.37E-06	4.95E-05	6.89E-05	7.90E-05	0	1.76E-06	5.80E-06	1.86E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
Emcibacteraceae	2.93E-07	0	2.73E-07	8.29E-06	1.06E-05	2.76E-06	3.25E-07	0	0	3.05E-07	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Emcibacterales;f__Emcibacteraceae
Candidatus_Paracaedibacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Candidatus_Paracaedibacteraceae
Holosporaceae	0	0	0	0	0	0	0	1.29E-06	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Holosporales;f__Holosporaceae
Ahrensiaceae	9.44E-05	4.84E-05	0.000274379	1.40E-05	3.37E-05	9.89E-05	3.77E-05	0.000103116	5.29E-06	1.07E-05	4.39E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Ahrensiaceae
Aurantimonadaceae	0.000204084	0.000224301	0.000182282	0.00010302	0.000175959	0.000124796	0.000128998	0.000213343	3.93E-05	2.20E-05	2.53E-05	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Aurantimonadaceae
Bartonellaceae	0	0	0	0	0	0	0	0	2.17E-05	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bartonellaceae
Beijerinckiaceae	1.67E-05	1.03E-05	2.21E-05	1.75E-06	0	2.72E-05	1.17E-05	2.42E-05	2.77E-06	2.44E-06	3.38E-07	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae
Blastochloridaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Blastochloridaceae
Boseaceae	7.92E-06	0	1.37E-06	3.06E-06	1.15E-05	0	1.95E-06	0	5.04E-07	1.22E-06	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Boseaceae
Breoghaniaceae	4.11E-06	1.00E-06	5.74E-06	2.62E-06	4.33E-06	1.72E-06	0	9.05E-06	1.51E-06	2.14E-06	5.07E-07	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Breoghaniaceae
Brucellaceae	0.000167138	3.67E-06	8.94E-05	9.60E-06	0.000475956	0.000324744	0.00019301	0.000115399	4.73E-05	2.44E-05	7.94E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae
Chelatococcaceae	2.23E-05	3.17E-05	5.47E-05	4.80E-06	9.62E-06	5.00E-05	2.31E-05	2.55E-05	4.53E-06	2.75E-06	1.18E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Chelatococcaceae
Cohaesibacteraceae	5.86E-07	1.34E-06	2.73E-07	8.73E-07	1.44E-06	1.03E-06	9.75E-07	2.91E-06	0	0	1.69E-07	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Cohaesibacteraceae
Devosiaceae	5.13E-05	0.000234982	5.55E-05	0.000480176	0.000555763	3.55E-05	4.16E-05	4.01E-05	0.00015006	9.64E-05	0.000135443	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae
Hyphomicrobiaceae	3.58E-05	4.57E-05	3.61E-05	0.004113362	0.004192738	4.62E-05	0.000134847	0.000210111	0.001855854	0.001162672	0.000687854	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae
Kaistiaceae	0	0	1.91E-06	0	0	0	0	2.59E-06	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Kaistiaceae
Methylobacteriaceae	1.55E-05	1.07E-05	4.92E-06	7.42E-06	4.33E-06	2.24E-05	1.10E-05	1.75E-05	2.52E-07	9.15E-07	3.38E-07	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae
Methylocystaceae	2.64E-06	1.00E-06	1.64E-06	1.09E-05	1.92E-05	1.38E-06	1.30E-06	2.26E-06	5.29E-06	4.27E-06	3.21E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae
Nitrobacteraceae	1.73E-05	1.30E-05	1.39E-05	0.000920192	0.001119698	1.52E-05	4.48E-05	6.79E-06	5.54E-06	1.19E-05	8.44E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae
Parvibaculaceae	0.001847897	0.002302087	0.002626275	0.001451877	0.001920169	0.002619673	0.002527653	0.002255298	0.000326808	0.000362649	0.000133585	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae
Phreatobacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phreatobacteraceae
Phyllobacteriaceae	0.001581943	0.00137451	0.001363969	0.027559916	0.034846697	0.00269586	0.009003889	0.001029866	0.010951831	0.0056999	0.00517216	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae
Pleomorphomonadaceae	0	0	0	0	4.81E-07	0	0	0	5.04E-07	0	1.69E-07	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae
Rhizobiaceae	0.000450685	0.000990996	0.000504485	0.001061625	0.001104314	0.001052833	0.000425337	0.000908325	0.000742745	0.00049563	0.000332865	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae
Rhodobiaceae	6.16E-06	7.01E-06	1.91E-06	1.70E-05	2.40E-06	3.45E-07	9.75E-07	1.94E-06	0.000255554	0.000448355	8.28E-05	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodobiaceae
Stappiaceae	0.000448633	0.001151878	0.001154359	0.000249255	0.000741818	0.000895977	0.00053159	0.000562127	0.000202933	0.000197032	3.99E-05	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Stappiaceae
Xanthobacteraceae	0	4.01E-06	1.42E-05	1.79E-05	2.88E-05	0	3.61E-05	3.81E-05	1.79E-05	6.41E-06	1.69E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae
Hyphomonadaceae	0.000696407	0.000464289	0.000296242	0.00052863	0.000293746	0.000726021	0.000383746	0.000485194	0.003217469	0.002022171	0.001232158	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomonadales;f__Hyphomonadaceae
Kordiimonadaceae	0	0	2.73E-07	4.37E-07	9.62E-07	0	0	0	1.76E-06	1.53E-06	1.86E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Kordiimonadaceae
Magnetococcaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Magnetococcales;f__Magnetococcaceae
Maricaulaceae	0.000228421	0.000300069	0.000323024	0.000563115	0.000356726	0.000230975	0.000269694	0.00035137	0.000753067	0.000516675	0.000307026	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae
Parvularculaceae	5.86E-05	5.51E-05	5.47E-05	6.77E-05	3.46E-05	5.48E-05	8.22E-05	5.30E-05	2.57E-05	1.22E-05	4.56E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae
Pelagibacteraceae	0	0	0	0	0	0	0	0	0	3.05E-07	1.69E-07	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae
Rhodobacteraceae	0.058942992	0.061975442	0.067033416	0.187063449	0.187340056	0.058666328	0.102569276	0.057829619	0.209877948	0.338603585	0.498016404	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
Roseobacteraceae	0.048128015	0.061149668	0.066033191	0.159626633	0.177677191	0.078054113	0.064201531	0.066733471	0.388107427	0.220265999	0.183825659	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae
Acetobacteraceae	9.94E-05	1.00E-06	6.01E-06	5.67E-06	1.78E-05	5.17E-06	4.87E-06	3.88E-06	4.53E-06	0	1.86E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
Azospirillaceae	8.80E-06	8.01E-06	2.71E-05	6.98E-06	3.56E-05	2.21E-05	9.10E-06	2.59E-06	3.02E-06	0	1.35E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae
Kiloniellaceae	0	0	0	0	0	1.03E-06	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Kiloniellaceae
Rhodospirillaceae	3.81E-06	4.34E-06	2.81E-05	4.80E-06	6.11E-05	0	9.75E-06	5.07E-05	5.79E-06	3.05E-06	1.35E-06	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
Stellaceae	0	0	0	0	4.81E-07	1.38E-06	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Stellaceae
Terasakiellaceae	0	0	0	4.80E-06	8.65E-06	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae
Thalassobaculaceae	0.000269766	0.000329442	2.92E-05	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassobaculaceae
Thalassospiraceae	3.58E-05	5.44E-05	4.86E-05	0.000364061	0.000158171	6.27E-05	6.95E-05	0.00012542	8.81E-06	0.000701507	0.00022343	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae
Rickettsiaceae	0	0	0	0	4.81E-07	0	0	0	0	0	1.69E-07	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae
Erythrobacteraceae	0.004838488	0.006300783	0.00635963	0.012230518	0.009405175	0.00705681	0.006618557	0.006323367	0.00177453	0.002104522	0.00210899	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae
Sphingomonadaceae	0.001108386	0.001506353	0.001527393	0.009277436	0.005014844	0.002102909	0.00186349	0.001486938	0.00048014	0.000407179	0.000244202	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
Sphingosinicellaceae	1.17E-06	3.34E-07	5.74E-06	0	0	0	0	0	1.01E-06	9.15E-07	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingosinicellaceae
Zymomonadaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Zymomonadaceae
Alcaligenaceae	0.000135469	0.000257011	0.000200865	4.89E-05	0.000168267	0.000492977	0.000222579	0.000136734	1.26E-05	0.000300428	2.90E-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae
Burkholderiaceae	0.001585462	0.000497	0.000488908	0.000106948	0.000341823	0.001163495	0.000562134	0.00067688	0.00011053	0.000216552	6.50E-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae
Comamonadaceae	0.004690117	0.007441312	0.008967595	0.000263224	0.003129289	0.007479116	0.009780479	0.0073041	0.001522752	0.00144358	0.000120244	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
Oxalobacteraceae	0.000183851	0.000510017	0.000627737	6.11E-06	8.12E-05	0.000731192	0.000669362	0.000583138	2.17E-05	4.24E-05	2.53E-06	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
Sutterellaceae	0	0	7.38E-06	0	1.63E-05	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae
Ferrovaceae	0	0	0	4.37E-07	4.81E-07	3.45E-07	0	0	0	3.05E-07	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ferrovales;f__Ferrovaceae
Chromobacteriaceae	2.26E-05	8.34E-06	3.50E-05	0	1.59E-05	3.52E-05	4.84E-05	5.01E-05	3.10E-05	2.47E-05	1.03E-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae
Neisseriaceae	8.50E-06	4.67E-05	1.12E-05	0	2.40E-06	5.52E-06	3.25E-06	1.52E-05	0	2.44E-05	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae
Gallionellaceae	0	3.00E-06	2.73E-06	4.80E-06	2.40E-06	2.41E-06	2.60E-06	1.94E-06	1.76E-05	0.000132371	1.82E-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae
Methylophilaceae	0	0	0	0	0	0	0	0	6.55E-06	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae
Nitrosomonadaceae	0.000335155	0.000103472	0.00019212	0.000269335	0.000356726	7.45E-05	2.31E-05	0.000102146	0.00110178	0.000635932	0.000233056	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae
Sterolibacteriaceae	4.19E-05	3.64E-05	2.81E-05	1.13E-05	7.79E-05	2.86E-05	1.82E-05	3.23E-05	7.05E-06	6.65E-05	1.03E-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Sterolibacteriaceae
Sulfuricellaceae	1.52E-05	2.34E-05	1.26E-05	2.18E-06	6.73E-06	2.00E-05	2.63E-05	1.94E-05	9.06E-06	1.56E-05	1.18E-06	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Sulfuricellaceae
Thiobacillaceae	0.000141041	2.60E-05	3.31E-05	6.72E-05	7.98E-05	6.45E-05	0.000138421	0.000595745	3.17E-05	6.74E-05	1.47E-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Thiobacillaceae
Usitatibacteraceae	0	0	0	0	1.44E-06	1.38E-06	3.25E-07	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Usitatibacteraceae
Azonexaceae	5.28E-06	0	8.47E-06	6.98E-06	0	9.31E-06	8.12E-06	2.26E-06	8.06E-06	4.88E-06	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae
Fluviibacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Fluviibacteraceae
Rhodocyclaceae	3.37E-05	5.57E-05	9.21E-05	6.81E-05	0.000261535	0.000121693	0.000114376	9.76E-05	2.42E-05	0.000119866	3.06E-05	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae
Zoogloeaceae	0.000367703	0.000707282	0.000937096	0.001128413	0.002782659	0.000701889	0.001244168	0.000965863	0.000411657	0.000569746	0.0001042	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae
Casimicrobiaceae	0	0	1.97E-05	0	0	2.59E-05	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;unclassified;f__Casimicrobiaceae
Bradymonadaceae	2.93E-07	0	2.73E-07	4.37E-07	0	6.89E-07	3.25E-07	3.23E-07	7.55E-07	0	1.69E-07	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__Bradymonadaceae
Microvenatoraceae	4.40E-06	1.67E-06	6.83E-06	3.49E-06	4.33E-06	8.96E-06	5.52E-06	5.17E-06	7.55E-07	2.75E-06	4.05E-06	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bradymonadales;f__Microvenatoraceae
Desulfarculaceae	2.64E-06	3.34E-06	0	8.73E-07	1.11E-05	0	3.57E-06	6.46E-07	1.18E-05	1.31E-05	1.66E-05	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfarculales;f__Desulfarculaceae
Desulfobacteraceae	0.001843206	0.001819774	0.001992799	0.000562679	0.002285069	0.001069036	0.001286084	0.001422612	0.002358403	0.003958332	0.001145522	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae
Desulfobulbaceae	1.85E-05	0.000198933	0.000253609	4.37E-07	1.92E-05	5.52E-06	1.07E-05	5.17E-06	1.06E-05	2.59E-05	2.94E-05	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae
Desulfocapsaceae	0.00031287	0.000475972	0.000409655	8.08E-05	0.00029615	0.000166509	0.000130298	0.000100207	5.41E-05	0.000220212	3.99E-05	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfocapsaceae
Desulfosudaceae	0	6.68E-07	8.20E-07	0	1.44E-06	6.89E-07	0	1.62E-06	5.04E-06	5.80E-06	3.38E-07	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfosudaceae
Desulfohalobiaceae	0	0	0	0	0	0	0	0	0	3.05E-07	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfohalobiaceae
Desulfomicrobiaceae	0	1.67E-06	8.20E-07	3.93E-06	4.81E-06	3.45E-07	6.50E-07	0	6.04E-06	6.10E-07	3.38E-06	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfomicrobiaceae
Desulfovibrionaceae	4.31E-05	5.21E-05	6.56E-05	6.55E-06	6.49E-05	3.14E-05	4.00E-05	1.26E-05	0.000147794	0.000129626	6.67E-05	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae
Desulfuromonadaceae	5.98E-05	5.44E-05	7.82E-05	1.96E-05	0.000124037	8.62E-06	1.10E-05	5.50E-06	4.78E-05	9.64E-05	2.47E-05	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae
Geobacteraceae	7.62E-06	1.23E-05	8.20E-06	3.49E-05	2.69E-05	7.58E-06	1.07E-05	8.40E-06	1.69E-05	4.85E-05	2.69E-05	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae
Syntrophotaleaceae	0.000148958	0.000153873	0.000259075	5.24E-06	2.60E-05	3.45E-07	0	6.46E-07	8.31E-06	1.10E-05	3.72E-06	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Syntrophotaleaceae
Anaeromyxobacteraceae	8.80E-07	0	0	0	0	0	0	0	0	3.05E-07	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Anaeromyxobacteraceae
Archangiaceae	0.000107906	7.28E-05	1.91E-05	1.31E-06	3.85E-06	4.14E-06	9.42E-06	8.02E-05	7.55E-07	1.22E-06	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Archangiaceae
Kofleriaceae	5.28E-06	7.68E-06	9.29E-06	4.80E-06	8.17E-06	5.62E-05	6.95E-05	6.50E-05	2.01E-06	9.15E-07	1.69E-07	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae
Labilitrichaceae	0	0	0	0	4.81E-07	0	0	0	2.52E-07	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Labilitrichaceae
Myxococcaceae	9.09E-06	7.34E-06	8.47E-06	1.09E-05	0.000121633	1.28E-05	1.36E-05	8.73E-06	1.11E-05	4.58E-06	4.05E-06	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae
