Family	A11	A12	A13	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	taxonomy
Nannocystaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae
Polyangiaceae	1.47E-06	3.34E-06	2.46E-06	7.42E-06	2.40E-06	3.10E-06	3.25E-06	2.91E-06	2.27E-06	7.32E-06	8.44E-07	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae
Sandaracinaceae	6.45E-06	5.67E-06	6.01E-06	0	8.17E-06	5.86E-06	2.92E-06	2.59E-06	3.27E-06	4.27E-06	3.55E-06	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae
Vulgatibacteraceae	0	0	2.73E-07	8.73E-07	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Vulgatibacteraceae
Syntrophaceae	0	1.34E-06	1.09E-06	1.31E-06	4.33E-06	6.89E-07	1.62E-06	0	1.76E-06	2.75E-06	6.76E-07	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophales;f__Syntrophaceae
Syntrophobacteraceae	0	0	0	0	0	3.45E-07	0	9.70E-07	0	1.22E-06	5.07E-07	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae
Arcobacteraceae	6.98E-05	6.38E-05	7.52E-05	2.49E-05	5.00E-05	5.17E-05	5.33E-05	2.68E-05	2.39E-05	0.000134201	3.93E-05	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Arcobacteraceae
Campylobacteraceae	0	0	0	0	0	1.28E-05	0	0	0	6.10E-07	1.69E-07	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae
Helicobacteraceae	0	8.01E-06	0	0	0	0	0	0	2.52E-07	0	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae
Sulfurospirillaceae	0	0	0	0	0	1.03E-06	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae
Sulfurovaceae	0	1.70E-05	1.45E-05	8.73E-06	1.87E-05	1.48E-05	1.07E-05	3.94E-05	3.02E-06	5.37E-05	1.35E-06	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae
Thiovulaceae	3.87E-05	3.94E-05	4.26E-05	1.27E-05	3.51E-05	4.00E-05	2.96E-05	3.07E-05	0.000163656	0.00046269	0.000221403	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae
Acidiferrobacteraceae	6.22E-05	8.78E-05	7.98E-05	2.79E-05	5.10E-05	0.000106869	8.51E-05	7.50E-05	5.26E-05	0.000127186	1.98E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae
Aeromonadaceae	0.000119049	3.77E-05	2.57E-05	4.85E-05	4.81E-05	0.000272689	4.84E-05	0.000970712	6.19E-05	3.69E-05	9.07E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae
Succinivibrionaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae
Alteromonadaceae	0.104567168	0.042912546	0.030907787	0.000285923	0.000243747	0.031331617	0.037340308	0.036329784	0.002803546	0.009847334	0.005281764	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae
Colwelliaceae	0.001369649	0.000306745	0.00023038	1.05E-05	1.30E-05	0.000433682	0.000478626	0.00025181	3.00E-05	4.85E-05	6.32E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae
Idiomarinaceae	2.93E-05	1.00E-05	4.59E-05	0.000136195	4.09E-05	8.31E-05	0.000104303	8.08E-06	1.23E-05	1.13E-05	5.91E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Idiomarinaceae
Moritellaceae	5.86E-07	1.00E-06	1.37E-06	2.18E-06	4.81E-07	3.45E-07	0	0	1.01E-06	0	5.57E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Moritellaceae
Pseudoalteromonadaceae	0.000798449	0.001545072	0.000696059	7.42E-05	6.11E-05	0.000357839	0.00046108	0.000603826	6.34E-05	8.85E-05	6.57E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae
Psychromonadaceae	0.000180626	0.000230309	0.000188294	2.10E-05	2.36E-05	1.59E-05	7.80E-06	1.33E-05	3.12E-05	7.84E-05	1.45E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae
Shewanellaceae	0.000206136	0.000562087	0.00087834	0.000374101	0.001162486	0.001915026	0.000513069	0.000906709	0.002671111	0.002654748	0.001677161	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae
Cardiobacteriaceae	0	6.34E-06	6.29E-06	5.24E-06	2.31E-05	0	0	0	0	1.71E-05	7.60E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae
Cellvibrionaceae	1.23E-05	1.37E-05	1.09E-05	6.98E-06	4.81E-06	8.52E-05	2.05E-05	1.78E-05	0.000126392	1.07E-05	7.77E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Cellvibrionaceae
Halieaceae	0.007212722	0.010675316	0.011176836	0.002435365	0.011169577	0.01000364	0.009904928	0.007940897	0.003099385	0.003977852	0.002321781	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Halieaceae
Microbulbiferaceae	1.47E-06	5.01E-06	2.19E-06	8.73E-06	1.49E-05	6.55E-06	2.92E-06	2.26E-06	6.04E-06	6.71E-06	2.87E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae
Spongiibacteraceae	1.23E-05	8.68E-06	1.26E-05	0.000107821	1.35E-05	1.45E-05	2.50E-05	1.03E-05	7.30E-05	0.000150367	2.36E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae
Chromatiaceae	0.000240444	0.000306077	0.000500933	0.000246636	0.000266824	0.000472982	0.000308036	0.000350724	0.000246239	0.000276638	9.09E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae
Ectothiorhodospiraceae	4.11E-06	1.27E-05	3.77E-05	1.75E-05	3.85E-05	1.41E-05	8.45E-06	1.26E-05	5.06E-05	0.000136946	2.45E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae
Granulosicoccaceae	0.000480887	0.000665893	0.000699611	0.001034561	0.001654788	0.000572267	0.000597876	0.000461921	0.000559702	0.00052003	0.000284734	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Granulosicoccaceae
Halothiobacillaceae	4.69E-06	3.00E-06	3.83E-06	3.49E-06	8.65E-06	3.45E-07	6.17E-06	3.56E-06	4.03E-06	1.04E-05	5.07E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Halothiobacillaceae
Thioalkalibacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioalkalibacteraceae
Thioalkalispiraceae	2.81E-05	2.00E-05	1.97E-05	3.45E-05	7.84E-05	2.55E-05	4.52E-05	0	0	0.000104616	1.15E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioalkalispiraceae
Wenzhouxiangellaceae	0	0	1.64E-06	4.37E-07	0	0	0	0	0	6.10E-07	1.69E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae
Woeseiaceae	0.000192062	0.000261684	0.000225461	0.000481486	0.000260574	0.000238559	0.001215899	0.000191039	4.20E-05	5.43E-05	1.72E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae
Bruguierivoracaceae	0	0	0	2.62E-06	0	0	0	3.23E-07	2.52E-07	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Bruguierivoracaceae
Budviciaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Budviciaceae
Enterobacteriaceae	0.000963534	0.001469304	0.000958413	0.002640531	0.032471244	0.000632941	0.000319734	0.001815358	0.003301059	0.00476354	0.001184534	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
Erwiniaceae	0	0	0	0	4.81E-06	0	9.75E-07	0	0	0	1.69E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae
Hafniaceae	0	0	0	0	0	0	0	0	0	1.83E-06	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae
Morganellaceae	6.74E-06	1.23E-05	5.33E-05	0.000103893	0.000116826	3.10E-06	1.33E-05	1.26E-05	5.49E-05	0.000224177	4.97E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae
Pectobacteriaceae	0	0	0	2.18E-06	0	0	0	0	0	6.10E-07	3.38E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae
Yersiniaceae	3.81E-06	6.68E-07	0.000230926	3.49E-06	9.62E-07	7.24E-06	5.49E-05	1.29E-06	2.52E-07	9.15E-07	1.18E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae
Immundisolibacteraceae	8.80E-07	8.68E-06	0	0	0	5.17E-06	0	2.26E-06	0	1.22E-06	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Immundisolibacterales;f__Immundisolibacteraceae
Kangiellaceae	0.000378845	0.000154207	0.000297881	0.00407844	0.002257184	0.000572612	6.40E-05	0.000152896	0.000143513	0.000269928	0.003044086	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Kangiellales;f__Kangiellaceae
Coxiellaceae	0	0	0	0	0	0	0	0	0	0	3.38E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae
Legionellaceae	1.76E-06	2.67E-06	2.46E-06	2.75E-05	0.000113941	2.76E-06	1.95E-06	0	3.52E-06	2.75E-06	8.44E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae
Methylococcaceae	5.86E-06	9.01E-06	5.47E-06	4.80E-06	6.73E-06	5.17E-06	7.80E-06	3.56E-06	7.55E-07	5.19E-06	2.53E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae
Methylothermaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylothermaceae
Moraxellaceae	0.000341606	0.000182912	0.000261808	5.46E-05	0.000165863	0.000500906	9.98E-05	0.000595422	0.000181784	0.000303478	0.000187627	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae
Sinobacteraceae	0	0	6.56E-06	0	0	3.45E-07	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Sinobacteraceae
Steroidobacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Steroidobacteraceae
Alcanivoracaceae	1.08E-05	1.37E-05	2.38E-05	0.000323464	0.000187979	1.65E-05	1.46E-05	2.07E-05	0.000866871	0.00241532	0.000646309	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae
Endozoicomonadaceae	0	3.34E-07	2.73E-07	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicomonadaceae
Hahellaceae	0	1.00E-06	1.09E-06	4.37E-07	0	0	0	0	0	0	1.69E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Hahellaceae
Halomonadaceae	0.000102922	0.001021703	0.000187201	0.000136632	0.000185094	0.000135138	0.000155643	0.000319692	4.58E-05	4.48E-05	3.38E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae
Oceanospirillaceae	2.55E-05	3.77E-05	5.44E-05	9.65E-05	0.000139421	5.34E-05	2.08E-05	5.04E-05	0.000143765	0.000288838	0.000696636	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae
Oleiphilaceae	2.93E-07	3.00E-06	1.09E-06	4.37E-07	9.62E-07	0	0	1.94E-06	1.76E-06	3.05E-07	2.36E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oleiphilaceae
Saccharospirillaceae	5.86E-07	6.68E-07	2.19E-06	1.31E-06	4.81E-06	1.38E-06	6.50E-07	1.29E-06	5.04E-07	1.53E-06	6.76E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae
Zooshikellaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Zooshikellaceae
Orbaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Orbales;f__Orbaceae
Pasteurellaceae	2.35E-06	0	4.65E-06	1.62E-05	0.000123556	0	0	3.23E-06	1.76E-06	3.05E-06	1.69E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae
Marinobacteraceae	0.001709202	0.008552135	0.014535517	0.056047008	0.03282124	0.004340955	0.014042623	0.00444336	0.005152633	0.009186697	0.006015047	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae
Pseudomonadaceae	0.00066034	0.001499344	0.00181407	0.000739907	0.001453829	0.003219519	0.002068198	0.001549648	0.004662421	0.005216775	0.000764188	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae
Salinisphaeraceae	0	0	0	0	4.81E-07	0	0	0	2.52E-07	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae
Francisellaceae	0	0	0	4.37E-07	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae
Piscirickettsiaceae	5.75E-05	8.61E-05	0.000183375	0.000389816	0.000473552	2.86E-05	0.000200159	0.000160977	0.000842197	0.000621902	0.000290307	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae
Thiotrichaceae	0.000323426	0.000541393	0.000691139	0.000187705	6.97E-05	0.000329226	0.000493573	0.000286074	0.000220306	0.000130541	7.85E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae
Vibrionaceae	0.056773429	0.044096133	0.030208995	0.009430655	0.004888403	0.069069866	0.043047753	0.056594491	0.152039803	0.105170292	0.110255708	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae
Rhodanobacteraceae	2.05E-06	3.67E-06	3.28E-06	0	1.78E-05	0	3.57E-06	0	2.01E-06	3.05E-06	8.44E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
Xanthomonadaceae	0.00082308	0.001462294	0.00160282	7.94E-05	0.000503359	0.001450662	0.00203018	0.001324668	6.95E-05	0.000301953	5.76E-05	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
Candidatus_Competibacteraceae	5.86E-07	1.67E-06	3.01E-06	3.93E-06	2.40E-06	2.76E-06	2.60E-06	2.59E-06	1.01E-06	3.66E-06	6.76E-07	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;unclassified;f__Candidatus_Competibacteraceae
Celerinatantimonadaceae	1.17E-06	0	2.73E-07	0	9.62E-07	1.03E-06	0	0	4.78E-06	4.27E-06	9.63E-06	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;unclassified;f__Celerinatantimonadaceae
Hydrogenophilaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Hydrogenophilalia;o__Hydrogenophilales;f__Hydrogenophilaceae
Bacteriovoracaceae	0	1.00E-06	0	1.44E-05	3.85E-06	0	0	3.23E-07	0	0	0	k__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Bacteriovoracaceae
Halobacteriovoraceae	0	0	0	0.002113647	0.001270177	2.07E-06	9.75E-07	6.46E-07	5.04E-07	3.05E-07	0	k__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Halobacteriovoraceae
Bdellovibrionaceae	0	0	0	0	0	0	0	0	0	6.10E-07	0	k__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae
Silvanigrellaceae	0	0	0	0	0	1.03E-06	1.95E-06	0	5.04E-07	1.22E-06	0	k__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae
Mariprofundaceae	0	6.68E-07	2.46E-06	1.31E-06	5.77E-06	1.38E-06	4.55E-06	2.59E-06	5.04E-07	3.05E-06	1.69E-07	k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae
Salisaetaceae	0.000192062	0	0	0	0.000474514	0	0.000223229	0.000364623	0	0	0.000124466	k__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Salisaetaceae
Brachyspiraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae
Leptospiraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae
Sphaerochaetaceae	0	0	0	0	4.81E-07	0	0	0	0	0	1.69E-07	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Sphaerochaetaceae
Spirochaetaceae	9.97E-06	1.60E-05	9.84E-06	8.73E-07	2.88E-06	8.62E-06	4.87E-06	1.03E-05	4.53E-06	5.19E-06	1.52E-06	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae
Treponemataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Treponemataceae
Synergistaceae	0	1.34E-06	1.09E-06	0	0	1.55E-05	4.06E-05	1.62E-06	0	0	0	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae
Acholeplasmataceae	5.57E-06	8.01E-06	5.74E-06	3.93E-06	3.85E-06	5.90E-05	5.59E-05	6.43E-05	1.51E-06	2.71E-05	4.09E-05	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae
Entomoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae
Mycoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae
Metamycoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;unclassified;o__Mycoplasmoidales;f__Metamycoplasmataceae
Fervidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae
Opitutaceae	0	3.34E-07	0	0	0	0	6.50E-07	0	0	0	1.35E-06	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae
Puniceicoccaceae	0	5.01E-06	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae
Akkermansiaceae	2.93E-06	2.00E-06	5.47E-06	6.55E-06	0.000177882	1.38E-06	3.57E-06	4.20E-06	1.26E-06	6.10E-07	6.76E-07	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae
Verrucomicrobia_subdivision_3	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobia_subdivision_3
Verrucomicrobiaceae	2.05E-06	3.00E-06	2.19E-06	1.75E-06	1.92E-06	3.79E-06	1.62E-06	3.56E-06	5.04E-07	0	3.38E-07	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
Candidatus_Babeliaceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;unclassified;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae
Candidatus_Chromulinivoraceae	0	0	0	0	0	0	0	0	0	3.05E-07	0	k__Bacteria;unclassified;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Chromulinivoraceae
Candidatus_Chazhemtobacteraceae	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;unclassified;unclassified;unclassified;f__Candidatus_Chazhemtobacteraceae
