"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean","Label"
"OTU6009","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_baltica",419837.111111111,"OTU6009"
"OTU2072","Bacteria","Proteobacteria","Unclassified","Unclassified","Unclassified","Unclassified","Proteobacteria_bacterium",50742.1111111111,"OTU2072"
"OTU2879","Bacteria","Planctomycetes","Unclassified","Unclassified","Unclassified","Unclassified","Planctomycetes_bacterium_TBK1r",54455.8888888889,"OTU2879"
"OTU3334","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","Algibacter_sp._L3A6",51027.5555555556,"OTU3334"
"OTU4472","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio_splendidus",45194.7777777778,"OTU4472"
"OTU691","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter","Sulfitobacter_sp._SK011",41874.4444444444,"OTU691"
"OTU4015","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_macleodii",42321.3333333333,"OTU4015"
"OTU5673","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Arenibacter","Arenibacter_algicola",41451.4444444444,"OTU5673"
"OTU2895","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Rosistilla","Rosistilla_oblonga",16030.5555555556,"OTU2895"
"OTU2897","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Symmachiella","Symmachiella_dynata",9644.33333333333,"OTU2897"
"OTU6316","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_lytica",11536.5555555556,"OTU6316"
"OTU4003","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_batillariae",10486.2222222222,"OTU4003"
"OTU1848","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_haliotis",9852.33333333333,"OTU1848"
"OTU5689","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zobellia","Zobellia_galactanivorans",9246.88888888889,"OTU5689"
"OTU3678","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_pectinis",9029,"OTU3678"
"OTU4582","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Cyclobacterium","Cyclobacterium_amurskyense",9021.22222222222,"OTU4582"
"OTU2220","Bacteria","Planctomycetes","Unclassified","Unclassified","Unclassified","Unclassified","Planctomycetes_bacterium",7634.66666666667,"OTU2220"
"OTU1691","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Urechidicola","Urechidicola_croceus",7601.77777777778,"OTU1691"
"OTU2408","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Pukyongia","Pukyongia_salina",6884.22222222222,"OTU2408"
"OTU2889","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Stieleria","Stieleria_neptunia",5661.11111111111,"OTU2889"
"OTU2495","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Methyloceanibacter","Methyloceanibacter_sp._wino2",4155.77777777778,"OTU2495"
"OTU2029","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unclassified","Unclassified","Cytophagales_bacterium_TFI_002",5415,"OTU2029"
"OTU198","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","uncultured_bacterium_ws172H5",4977.77777777778,"OTU198"
"OTU1250","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_sp._1_2014MBL_MicDiv",5016.33333333333,"OTU1250"
"OTU1749","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified","Flavobacteriaceae_bacterium",4589.22222222222,"OTU1749"
"OTU4511","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_putida",3366.11111111111,"OTU4511"
"OTU3330","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sp._L3A8",4270.33333333333,"OTU3330"
"OTU4583","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_dokdonensis",4060,"OTU4583"
"OTU5573","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfosarcina","Desulfosarcina_alkanivorans",3258.88888888889,"OTU5573"
"OTU6170","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomonadales","Hyphomonadaceae","Hyphomonas","Hyphomonas_sp.",3390.33333333333,"OTU6170"
"OTU2221","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhodobiaceae","Unclassified","Rhodobiaceae_bacterium",2649.33333333333,"OTU2221"
"OTU5489","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter_cloacae",2590.11111111111,"OTU5489"
"OTU5988","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga","Methylophaga_frappieri",2725,"OTU5988"
"OTU2740","Bacteria","Bacteroidetes","Sphingobacteriia","Unclassified","Unclassified","Unclassified","uncultured_Sphingobacteriia_bacterium",2830.33333333333,"OTU2740"
"OTU3727","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sp._AHE13PA",3212.88888888889,"OTU3727"
"OTU3726","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sp._HaHaR_3_91",3146.88888888889,"OTU3726"
"OTU1989","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Qipengyuania","Qipengyuania_flava",3314.55555555556,"OTU1989"
"OTU5019","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseobacter","Roseobacter_litoralis",3088.22222222222,"OTU5019"
"OTU1978","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Parvibaculaceae","Anderseniella","Anderseniella_sp._Alg231-50",2974.33333333333,"OTU1978"
"OTU2741","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio_crassostreae",2978.11111111111,"OTU2741"
"OTU2324","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya_sp._Bg11-27",2927.66666666667,"OTU2324"
"OTU1897","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga_sp.",2751.66666666667,"OTU1897"
"OTU5536","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_coli",2304.22222222222,"OTU5536"
"OTU6298","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfosarcina","Desulfosarcina_widdelii",2360.11111111111,"OTU6298"
"OTU1419","Bacteria","Acidobacteria","Unclassified","Unclassified","Unclassified","Unclassified","uncultured_Acidobacteria_bacterium",1941.22222222222,"OTU1419"
"OTU473","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina","Planktomarina_temperata",2261.88888888889,"OTU473"
"OTU3728","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sp._R2A056_3_33",2246.77777777778,"OTU3728"
"OTU3333","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","Algibacter_sp._L1A34",2259.22222222222,"OTU3333"
"OTU1994","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Roseimaritima","Roseimaritima_multifibrata",2149.33333333333,"OTU1994"
"OTU2357","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter","Sulfitobacter_sp._JL08",2268,"OTU2357"
"OTU4330","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Qipengyuania","Qipengyuania_psychrotolerans",2221.88888888889,"OTU4330"
"OTU3750","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_sp._HaHa_2_1",2125.77777777778,"OTU3750"
"OTU6327","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_sp._4H-3-7-5",1991.11111111111,"OTU6327"
"OTU5085","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas","Nitrosomonas_cryotolerans",1731.33333333333,"OTU5085"
"OTU3331","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_sp._L1A9",1885.11111111111,"OTU3331"
"OTU856","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus_yeei",1715.11111111111,"OTU856"
"OTU1663","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_hydrothermalis",1805.77777777778,"OTU1663"
"OTU4328","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Qipengyuania","Qipengyuania_gelatinilytica",1781.55555555556,"OTU4328"
"OTU516","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax_pacificus",1518.66666666667,"OTU516"
"OTU4542","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_sp._HTCC2170",1690.11111111111,"OTU4542"
"OTU2504","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_sp._Dokd-P16",1550.77777777778,"OTU2504"
"OTU3724","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_sp._HaHa_2_95",1542.33333333333,"OTU3724"
"OTU3725","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya_sp._HaHaR_3_96",1489.33333333333,"OTU3725"
"OTU6010","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","Cellulophaga_fucicola",1383.66666666667,"OTU6010"
"OTU6334","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sejongensis",1287.33333333333,"OTU6334"
"OTU6096","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfosarcina","Desulfosarcina_ovata",1131.44444444444,"OTU6096"
"OTU670","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Methyloceanibacter","Methyloceanibacter_caenitepidi",1025.22222222222,"OTU670"
"OTU3881","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Marixanthomonas","Marixanthomonas_sp._SCSIO_43207",1247.11111111111,"OTU3881"
"OTU780","Bacteria","Proteobacteria","Alphaproteobacteria","Maricaulales","Maricaulaceae","Glycocaulis","Glycocaulis_alkaliphilus",1122.55555555556,"OTU780"
"OTU983","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_sp._BM10",1140.88888888889,"OTU983"
"OTU3942","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Unclassified","Thiohalobacter","Thiohalobacter_sp._COW1",860.333333333333,"OTU3942"
"OTU2471","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Dinoroseobacter","Dinoroseobacter_shibae",1087.44444444444,"OTU2471"
"OTU2815","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter_sp._MJ134",1058.66666666667,"OTU2815"
"OTU2881","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Aureliella","Aureliella_helgolandensis",998.555555555556,"OTU2881"
"OTU5011","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_marinisabuli",919.555555555556,"OTU5011"
"OTU1693","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum_todarodis",920.666666666667,"OTU1693"
"OTU5851","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio_atlanticus",905.888888888889,"OTU5851"
"OTU2264","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified","Clostridia_bacterium",879.888888888889,"OTU2264"
"OTU6325","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lacinutrix","Lacinutrix_sp._5H-3-7-4",904.888888888889,"OTU6325"
"OTU2999","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Psychroserpens","Psychroserpens_sp._NJDZ02",881.888888888889,"OTU2999"
"OTU4075","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Polaribacter_cellanae",814,"OTU4075"
"OTU3283","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Qipengyuania","Qipengyuania_seohaensis",830.222222222222,"OTU3283"
"OTU3048","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aureibaculum","Aureibaculum_algae",33246.5555555556,"OTU3048"
"OTU4625","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis_macrogoltabida",1525.88888888889,"OTU4625"
"OTU1819","Heunggongvirae","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae","Unclassified","Vibrio_phage_1.185.O._10N.286.49.C2",1283.77777777778,"OTU1819"
"OTU643","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium_rosettiformans",855.555555555556,"OTU643"
"OTU1715","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax_sp._T1",824.333333333333,"OTU1715"
"OTU4286","Heunggongvirae","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae","Unclassified","Vibrio_phage_PS25B.1",860,"OTU4286"
"OTU3944","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Stieleria","Stieleria_maiorica",837.222222222222,"OTU3944"
"OTU3243","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Rhodopirellula","Rhodopirellula_baltica",4453.44444444444,"OTU3243"
"OTU3080","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseivivax","Roseivivax_sp._THAF197b",1077.55555555556,"OTU3080"
"OTU3180","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia_chilikensis",29813.4444444444,"OTU3180"
"OTU4935","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Erythrobacter_litoralis",910.444444444444,"OTU4935"
"OTU5012","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Azoarcus","Azoarcus_communis",1234.33333333333,"OTU5012"
"OTU1016","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified","Unclassified","Sedimenticola","Sedimenticola_thiotaurini",1098.88888888889,"OTU1016"
"OTU364","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia_maris",62224.4444444444,"OTU364"
"OTU6085","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter","Sulfitobacter_mediterraneus",20975.5555555556,"OTU6085"
"OTU5561","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella_frigidimarina",844.555555555556,"OTU5561"
