Taxonomy	CK_Day10	CK_Day25	AOM_Day10	AD_Day10	AOM_Day25	AD_Day25
OTU741	0	0	0	0	0	1
OTU742	0	0	0	0	0	1
OTU743	0	1	1	0	0	0
OTU744	0	0	0	0	0	0
OTU745	0	0	0	0	0	1
OTU746	0	1	0	0	1	0
OTU747	0	0	0	0	1	0
OTU748	1	0	1	0	0	0
OTU749	0	0	1	1	0	0
OTU750	0	0	0	1	1	0
OTU751	0	0	1	1	0	1
OTU752	1	0	1	1	0	1
OTU753	1	1	0	0	0	1
OTU754	0	1	0	0	0	0
OTU755	1	1	0	0	1	1
OTU756	0	0	0	0	1	1
OTU757	1	1	0	0	1	1
OTU758	0	0	0	0	1	1
OTU759	0	0	0	0	0	1
OTU760	1	1	1	1	1	1
OTU761	0	0	1	0	1	1
OTU762	0	0	0	0	0	0
OTU763	0	0	1	0	0	1
OTU764	1	1	1	1	0	1
OTU765	1	0	0	1	1	0
OTU766	1	0	0	0	0	0
OTU767	1	0	1	1	0	1
OTU768	0	0	1	1	1	1
OTU769	1	1	1	1	0	1
OTU770	1	0	0	0	1	1
OTU771	1	0	1	1	1	1
OTU772	0	1	0	0	0	1
OTU773	0	0	0	1	0	1
OTU774	0	1	0	0	0	1
OTU775	0	0	0	0	1	0
OTU776	1	1	1	1	1	1
OTU777	0	0	0	0	0	0
OTU778	1	1	1	1	1	1
OTU779	1	1	1	1	0	1
OTU780	0	0	0	0	1	1
OTU781	0	1	1	0	0	0
OTU782	0	0	0	0	0	1
OTU783	1	0	1	0	1	1
OTU784	1	1	1	1	1	0
OTU785	0	1	0	0	1	1
OTU786	1	1	1	1	1	1
OTU787	0	0	1	0	0	0
OTU788	1	0	0	0	1	1
OTU789	1	1	1	1	1	1
OTU790	1	0	0	1	0	1
OTU791	0	0	0	0	0	1
OTU792	1	1	1	1	1	1
OTU793	0	1	0	1	1	0
OTU794	0	0	0	0	1	1
OTU795	0	0	0	0	0	1
OTU796	1	1	0	0	1	1
OTU797	0	0	0	0	0	0
OTU798	0	0	0	0	1	1
OTU799	1	1	0	0	1	0
OTU800	0	0	0	0	0	1
OTU801	0	0	1	1	0	0
OTU802	0	0	0	0	0	1
OTU803	0	0	0	0	0	1
OTU804	1	1	0	1	1	1
OTU805	0	1	0	0	0	1
OTU806	0	0	0	0	0	1
OTU807	0	0	0	0	0	1
OTU808	1	0	0	0	0	0
OTU809	0	0	0	0	0	1
OTU810	0	0	0	0	0	1
OTU811	0	0	0	0	0	1
OTU812	1	1	0	1	1	1
OTU813	0	1	0	0	0	1
OTU814	0	1	0	0	1	0
OTU815	1	1	0	1	1	1
OTU816	1	1	1	1	1	1
OTU817	1	1	1	1	0	1
OTU818	1	1	1	0	1	1
OTU819	1	0	0	0	0	0
OTU820	1	1	1	1	1	1
OTU821	1	1	1	1	1	1
OTU822	0	1	0	1	1	1
OTU823	0	1	0	1	1	0
OTU824	1	0	0	0	1	0
OTU825	1	0	0	1	0	0
OTU826	0	0	0	1	0	0
OTU827	0	0	0	0	0	1
OTU828	0	0	1	0	0	0
OTU829	0	0	0	0	1	0
OTU830	1	1	0	1	1	1
OTU831	1	1	1	1	1	1
OTU832	0	0	0	0	0	1
OTU833	0	0	1	0	0	0
OTU834	1	1	1	1	1	1
OTU835	1	1	1	0	1	1
OTU836	1	1	1	1	1	1
OTU837	1	1	1	0	1	1
OTU838	1	1	1	1	1	1
OTU839	1	1	0	0	1	1
OTU840	0	0	0	0	0	0
OTU841	1	1	0	1	0	0
OTU842	0	1	0	1	0	1
OTU843	1	0	0	0	0	1
OTU844	1	1	0	0	0	0
OTU845	1	1	1	1	1	1
OTU846	1	0	1	0	0	0
OTU847	0	0	0	1	0	0
OTU848	1	0	0	0	0	1
OTU849	1	1	1	1	1	1
OTU850	1	1	1	1	0	1
OTU851	0	1	0	0	1	0
OTU852	1	1	0	1	0	1
OTU853	1	1	1	1	1	1
OTU854	1	1	1	0	1	1
OTU855	0	1	1	0	1	1
OTU856	1	1	1	1	1	1
OTU857	1	1	1	1	1	1
OTU858	1	1	1	1	1	1
OTU859	0	0	0	0	0	1
OTU860	1	1	1	1	1	1
OTU861	1	1	1	1	1	1
OTU862	1	0	0	1	0	1
OTU863	1	1	1	1	1	1
OTU864	1	1	1	1	1	1
OTU865	1	1	1	1	1	1
OTU866	1	1	1	1	1	1
OTU867	1	1	1	1	1	1
OTU868	0	1	0	0	1	0
OTU869	1	1	0	1	0	1
OTU870	0	1	1	1	0	1
OTU871	1	1	0	0	0	1
OTU872	1	1	1	1	1	1
OTU873	1	1	0	0	1	1
OTU874	1	0	1	0	0	0
OTU875	0	0	1	0	1	0
OTU876	1	1	0	0	1	1
OTU877	0	1	0	1	0	0
OTU878	1	0	0	0	0	0
OTU879	1	1	0	0	0	0
OTU880	1	1	1	1	1	1
OTU881	0	1	0	0	1	1
OTU882	1	1	1	1	1	1
OTU883	1	1	0	1	1	0
OTU884	0	0	0	1	0	1
OTU885	1	1	1	1	1	1
OTU886	1	0	0	0	0	0
OTU887	1	1	1	1	1	1
OTU888	0	1	0	1	1	1
OTU889	1	1	1	1	1	1
OTU890	1	1	1	0	1	1
OTU891	1	1	1	1	1	1
OTU892	1	1	1	1	1	1
OTU893	1	1	1	1	1	1
OTU894	0	1	0	1	0	0
OTU895	0	0	0	0	0	0
OTU896	0	1	0	0	0	1
OTU897	1	1	1	0	0	0
OTU898	1	1	1	1	1	1
OTU899	1	1	1	1	1	1
OTU900	1	0	0	0	0	0
OTU901	1	1	1	1	1	1
OTU902	1	1	1	1	1	1
OTU903	1	1	1	1	1	1
OTU904	0	0	0	0	0	1
OTU905	0	1	1	0	0	1
OTU906	1	1	1	1	1	1
OTU907	1	1	1	1	1	1
OTU908	1	1	0	0	0	0
OTU909	1	1	0	1	1	0
OTU910	1	1	1	1	1	1
OTU911	1	0	1	1	0	0
OTU912	0	0	0	0	0	1
OTU913	0	0	0	0	0	1
OTU914	1	1	1	1	1	1
OTU915	1	1	1	1	1	1
OTU916	1	1	1	0	1	1
OTU917	0	0	1	0	0	0
OTU918	1	1	1	1	1	1
OTU919	0	1	0	0	1	1
OTU920	1	0	0	0	0	0
OTU921	1	0	1	0	1	0
OTU922	0	1	1	1	1	1
OTU923	1	0	0	0	0	0
OTU924	1	1	0	0	1	1
OTU925	1	1	1	1	1	1
OTU926	0	0	0	0	0	0
OTU927	0	0	0	0	0	1
OTU928	1	1	1	1	1	1
OTU929	1	1	1	1	1	1
OTU930	1	1	1	1	1	1
OTU931	1	1	1	1	1	1
OTU932	1	1	1	1	1	1
OTU933	1	1	1	1	1	1
OTU934	1	1	1	1	1	1
OTU935	1	1	1	1	1	1
OTU936	1	1	1	1	1	1
OTU937	1	1	1	1	1	1
OTU938	1	0	0	0	0	0
OTU939	1	1	1	1	1	1
OTU940	1	1	1	1	1	1
OTU941	1	1	1	1	1	1
OTU942	1	1	0	1	0	0
OTU943	1	1	1	1	1	1
OTU944	0	0	0	0	0	1
OTU945	0	0	0	0	1	0
OTU946	1	1	1	1	1	1
OTU947	0	1	0	0	0	1
OTU948	0	0	0	1	0	0
OTU949	0	1	0	1	0	0
OTU950	1	1	1	1	0	1
OTU951	1	0	0	0	0	0
OTU952	1	0	1	1	1	1
OTU953	0	1	0	1	0	1
OTU954	1	0	0	0	0	0
OTU955	0	1	0	0	1	1
OTU956	1	1	0	0	1	0
OTU957	1	1	1	1	1	1
OTU958	0	0	0	0	0	0
OTU959	0	0	0	0	0	0
OTU960	0	1	1	0	0	0
OTU961	1	1	1	1	1	1
OTU962	1	0	0	0	1	1
OTU963	0	0	0	0	0	1
OTU964	0	0	1	0	0	0
OTU965	1	1	1	1	1	1
OTU966	1	0	0	0	0	0
OTU967	1	1	1	1	1	1
OTU968	0	0	0	0	1	0
OTU969	1	0	0	0	0	1
OTU970	0	0	0	0	0	1
OTU971	0	0	0	0	1	1
OTU972	0	0	0	0	0	0
OTU973	0	0	0	0	0	1
OTU974	0	0	0	0	1	0
OTU975	1	1	1	0	0	1
OTU976	0	0	0	0	0	1
OTU977	0	1	0	0	0	1
OTU978	0	0	0	1	0	0
OTU979	1	1	1	1	1	1
OTU980	1	1	1	1	1	1
OTU981	1	1	1	1	1	1
OTU982	0	1	1	0	1	1
OTU983	0	0	0	0	0	1
OTU984	1	0	0	0	0	0
OTU985	1	1	1	1	1	1
OTU986	1	1	1	1	1	1
OTU987	1	1	1	1	1	1
OTU988	0	0	0	0	0	0
OTU989	0	1	0	1	0	1
OTU990	1	1	1	1	1	1
OTU991	0	1	1	0	1	0
OTU992	0	0	0	0	0	1
OTU993	1	1	1	1	1	1
OTU994	0	0	0	0	0	1
OTU995	0	0	0	0	0	1
OTU996	1	1	1	1	1	1
OTU997	1	1	1	1	1	1
OTU998	0	0	0	0	1	1
OTU999	0	0	0	0	1	0
OTU1000	0	0	1	1	0	0
OTU1001	0	0	0	0	0	1
OTU1002	1	0	0	1	0	1
OTU1003	0	0	0	0	0	1
OTU1004	1	0	0	0	0	0
OTU1005	0	0	0	0	0	0
OTU1006	0	0	0	0	0	1
OTU1007	1	1	1	0	0	1
OTU1008	0	1	0	0	0	1
OTU1009	0	0	0	0	0	1
OTU1010	0	1	0	0	0	1
OTU1011	0	1	0	0	1	1
OTU1012	0	1	1	1	1	1
OTU1013	1	1	1	1	1	1
OTU1014	0	1	0	0	0	1
OTU1015	0	1	0	1	0	1
OTU1016	1	1	1	1	1	1
OTU1017	1	0	0	0	0	1
OTU1018	0	0	0	1	0	1
OTU1019	1	1	1	1	0	1
OTU1020	0	0	0	0	0	1
OTU1021	0	0	0	0	1	0
OTU1022	0	0	0	1	0	1
OTU1023	0	0	0	0	0	1
OTU1024	1	1	0	0	0	1
OTU1025	0	1	0	1	0	1
OTU1026	0	0	0	0	0	1
OTU1027	0	1	0	1	0	1
OTU1028	0	0	0	0	0	1
OTU1029	1	1	1	1	1	1
OTU1030	0	0	0	0	0	1
OTU1031	1	1	1	1	1	1
OTU1032	1	1	0	0	1	1
OTU1033	1	0	0	0	0	0
OTU1034	0	0	0	1	0	0
OTU1035	0	1	0	0	0	1
OTU1036	1	1	0	0	0	1
OTU1037	1	0	0	0	0	0
OTU1038	0	1	1	1	1	1
OTU1039	1	0	0	0	0	1
OTU1040	1	1	0	1	0	1
OTU1041	1	0	1	1	0	1
OTU1042	0	1	0	0	1	1
OTU1043	0	1	0	1	0	1
OTU1044	1	1	1	1	1	1
OTU1045	1	1	0	1	1	1
OTU1046	0	0	0	0	0	1
OTU1047	0	0	0	0	1	1
OTU1048	0	1	0	0	0	1
OTU1049	0	0	0	0	0	1
OTU1050	0	0	0	0	0	1
OTU1051	0	0	0	0	0	1
OTU1052	0	0	0	0	0	1
OTU1053	0	1	0	1	0	1
OTU1054	0	0	0	0	0	1
OTU1055	0	0	1	0	0	0
OTU1056	1	1	0	1	1	1
OTU1057	0	0	0	0	0	1
OTU1058	0	0	0	0	0	1
OTU1059	0	1	0	1	0	0
OTU1060	1	0	0	0	0	0
OTU1061	1	0	0	0	0	1
OTU1062	0	0	1	0	0	0
OTU1063	1	1	0	0	0	0
OTU1064	1	1	0	0	0	0
OTU1065	1	1	0	0	1	1
OTU1066	0	0	0	0	0	1
OTU1067	1	1	1	1	1	1
OTU1068	0	0	0	0	1	1
OTU1069	1	1	1	1	1	1
OTU1070	0	0	0	1	0	0
OTU1071	0	0	0	0	1	1
OTU1072	0	0	0	0	0	1
OTU1073	0	0	0	0	0	1
OTU1074	0	1	1	1	1	1
OTU1075	1	1	1	1	1	1
OTU1076	0	1	0	1	1	1
OTU1077	0	0	0	0	1	0
OTU1078	1	1	0	0	0	0
OTU1079	1	0	0	1	1	1
OTU1080	1	1	1	1	1	1
OTU1081	0	0	1	0	0	0
OTU1082	1	1	0	0	0	0
OTU1083	1	1	0	0	1	0
OTU1084	0	0	0	0	0	0
OTU1085	1	1	1	1	1	1
OTU1086	1	1	1	0	1	0
OTU1087	0	1	1	1	0	1
OTU1088	1	0	0	0	0	0
OTU1089	1	1	1	1	1	1
OTU1090	0	0	0	0	0	0
OTU1091	1	1	1	1	1	1
OTU1092	1	0	1	1	0	0
OTU1093	1	0	1	1	1	0
OTU1094	0	0	0	0	0	1
OTU1095	1	1	1	1	1	1
OTU1096	1	0	1	1	0	1
OTU1097	1	1	1	1	0	1
OTU1098	1	1	1	1	1	1
OTU1099	0	0	1	1	0	0
OTU1100	1	1	1	1	1	1
OTU1101	1	1	1	1	0	1
OTU1102	1	1	0	1	0	0
OTU1103	0	0	1	0	0	0
OTU1104	0	0	1	0	1	1
OTU1105	1	1	1	1	1	1
OTU1106	1	0	1	1	0	1
OTU1107	1	1	1	1	1	1
OTU1108	1	1	1	1	1	1
OTU1109	0	0	0	0	0	0
OTU1110	1	1	1	1	1	1
OTU1111	1	0	1	1	0	1
OTU1112	0	1	1	1	0	0
OTU1113	1	1	1	1	1	1
OTU1114	0	0	0	1	0	1
OTU1115	0	0	0	1	0	0
OTU1116	0	0	1	0	0	0
OTU1117	1	1	1	1	0	0
OTU1118	1	1	1	0	0	0
OTU1119	1	0	0	0	0	0
OTU1120	1	0	0	1	0	1
OTU1121	0	0	0	1	0	0
OTU1122	1	0	0	1	0	0
OTU1123	0	0	0	0	0	0
OTU1124	1	1	1	1	1	1
OTU1125	0	0	1	1	1	1
OTU1126	1	1	1	1	1	1
OTU1127	1	0	1	1	1	1
OTU1128	1	0	0	0	0	0
OTU1129	0	0	0	1	0	0
OTU1130	0	0	0	1	0	0
OTU1131	1	1	1	1	0	0
OTU1132	1	1	1	0	0	1
OTU1133	1	1	1	1	1	1
OTU1134	1	1	0	0	0	0
OTU1135	0	0	0	0	0	1
OTU1136	1	0	1	1	0	0
OTU1137	1	1	1	1	0	0
OTU1138	1	1	1	1	0	1
OTU1139	1	1	1	1	1	1
OTU1140	1	1	1	1	1	1
OTU1141	1	1	1	1	1	1
OTU1142	0	0	0	0	0	0
OTU1143	0	0	0	0	0	0
OTU1144	1	0	0	0	0	0
OTU1145	1	0	0	0	0	0
OTU1146	1	0	0	0	0	0
OTU1147	1	1	1	1	0	1
OTU1148	0	1	1	1	0	1
OTU1149	1	1	1	1	1	1
OTU1150	0	0	0	0	0	0
OTU1151	1	0	0	0	0	0
OTU1152	1	1	1	1	1	1
OTU1153	0	0	0	1	0	0
OTU1154	1	1	1	1	1	1
OTU1155	1	1	1	1	1	1
OTU1156	1	1	0	0	0	0
OTU1157	1	1	1	1	1	1
OTU1158	0	1	0	0	1	1
OTU1159	0	1	0	1	0	0
OTU1160	1	1	1	1	1	0
OTU1161	1	1	1	1	1	1
OTU1162	1	1	1	1	1	1
OTU1163	1	1	0	0	1	1
OTU1164	0	0	1	1	1	1
OTU1165	0	1	0	1	0	0
OTU1166	1	1	1	1	1	1
OTU1167	1	1	1	0	1	1
OTU1168	1	1	1	1	1	1
OTU1169	1	1	1	1	1	1
OTU1170	0	0	0	0	0	0
OTU1171	1	1	1	1	1	0
OTU1172	1	0	0	0	0	0
OTU1173	1	1	1	1	1	1
OTU1174	1	0	0	0	0	0
OTU1175	0	0	1	0	0	0
OTU1176	1	0	0	0	0	0
OTU1177	1	1	0	1	1	1
OTU1178	0	0	0	0	0	1
OTU1179	1	0	0	0	0	1
OTU1180	0	0	0	0	1	0
OTU1181	0	0	0	0	1	0
OTU1182	1	1	1	1	0	1
OTU1183	0	0	0	0	0	0
OTU1184	1	0	0	1	1	0
OTU1185	0	1	1	1	1	0
OTU1186	1	0	0	0	1	0
OTU1187	1	1	1	1	1	1
OTU1188	1	0	0	0	0	0
OTU1189	1	1	1	1	0	0
OTU1190	1	1	1	1	1	1
OTU1191	1	1	1	1	1	1
OTU1192	1	0	1	1	1	1
OTU1193	1	1	1	1	1	1
OTU1194	1	1	1	1	1	1
OTU1195	1	1	1	1	1	1
OTU1196	1	1	1	1	1	1
OTU1197	0	0	0	1	1	1
OTU1198	0	1	0	0	1	0
OTU1199	1	0	0	1	0	1
OTU1200	0	1	1	1	1	1
OTU1201	1	0	0	0	0	1
OTU1202	0	0	0	0	1	0
OTU1203	1	0	0	0	0	0
OTU1204	0	1	1	1	1	1
OTU1205	0	0	0	0	0	1
OTU1206	0	0	1	0	0	0
OTU1207	0	1	1	1	1	1
OTU1208	1	1	0	0	1	0
OTU1209	0	0	0	1	0	0
OTU1210	1	1	1	1	1	1
OTU1211	0	0	1	0	1	0
OTU1212	0	0	0	0	1	0
OTU1213	0	1	0	0	1	1
OTU1214	1	1	1	1	1	1
OTU1215	1	1	1	1	0	1
OTU1216	1	1	1	1	1	1
OTU1217	0	0	0	0	0	1
OTU1218	0	0	0	1	0	0
OTU1219	1	1	1	0	1	0
OTU1220	0	0	1	0	1	1
OTU1221	0	0	0	0	0	1
OTU1222	0	0	0	0	0	1
OTU1223	0	0	1	0	1	1
OTU1224	0	0	0	0	0	1
OTU1225	0	0	0	0	1	0
OTU1226	0	0	0	0	0	1
OTU1227	0	0	0	1	0	1
OTU1228	1	0	0	0	0	0
OTU1229	0	0	0	0	0	1
OTU1230	0	0	0	0	1	0
OTU1231	1	1	1	1	1	1
OTU1232	1	1	1	1	1	1
OTU1233	0	0	0	0	1	0
OTU1234	0	1	0	0	1	1
OTU1235	1	1	0	0	0	0
OTU1236	0	1	0	0	1	1
OTU1237	1	0	0	0	0	1
OTU1238	0	0	0	0	0	1
OTU1239	0	0	0	0	0	1
OTU1240	0	1	1	1	1	1
OTU1241	1	1	1	1	1	1
OTU1242	1	1	1	1	1	1
OTU1243	1	1	1	1	1	1
OTU1244	1	1	1	1	1	1
OTU1245	0	0	0	0	0	1
OTU1246	0	0	0	0	1	1
OTU1247	0	0	0	0	0	1
OTU1248	0	0	0	0	1	0
OTU1249	1	1	0	0	1	1
OTU1250	0	0	0	0	0	1
OTU1251	0	0	0	0	0	1
OTU1252	1	0	0	1	0	1
OTU1253	1	0	0	0	0	0
OTU1254	1	1	0	0	0	0
OTU1255	0	0	0	0	1	0
OTU1256	0	0	0	1	0	0
OTU1257	0	0	0	0	0	1
OTU1258	0	1	0	1	0	0
OTU1259	0	0	0	0	1	0
OTU1260	1	1	1	1	1	1
OTU1261	0	0	1	0	0	1
OTU1262	0	0	0	0	1	0
OTU1263	0	0	0	0	1	0
OTU1264	0	0	0	0	1	1
OTU1265	1	0	0	0	0	0
OTU1266	0	0	0	0	0	1
OTU1267	0	0	0	0	0	1
OTU1268	0	1	0	0	1	1
OTU1269	1	1	1	1	1	1
OTU1270	0	0	0	0	0	1
OTU1271	1	1	1	1	1	1
OTU1272	1	1	1	1	1	1
OTU1273	1	0	0	0	0	0
OTU1274	1	1	0	0	0	1
OTU1275	0	0	0	0	0	1
OTU1276	0	1	0	0	1	0
OTU1277	0	1	0	0	1	1
OTU1278	1	1	0	1	1	1
OTU1279	1	0	0	0	0	0
OTU1280	1	0	0	0	0	0
OTU1281	0	1	0	0	1	0
OTU1282	0	0	0	0	1	0
OTU1283	1	0	0	0	0	0
OTU1284	1	0	1	1	0	0
OTU1285	1	1	1	1	1	1
OTU1286	0	1	1	1	1	1
OTU1287	1	1	0	0	1	1
OTU1288	0	1	0	0	0	0
OTU1289	0	0	0	0	1	0
OTU1290	0	0	0	0	1	0
OTU1291	1	1	1	1	1	0
OTU1292	0	0	0	0	1	0
OTU1293	0	0	0	0	1	0
OTU1294	1	1	0	0	1	1
OTU1295	0	1	0	0	0	1
OTU1296	1	1	1	1	1	1
OTU1297	1	1	1	0	1	1
OTU1298	0	1	0	0	0	1
OTU1299	1	0	0	0	0	0
OTU1300	1	1	1	1	1	1
OTU1301	1	1	1	1	1	1
OTU1302	1	1	1	1	1	1
OTU1303	1	1	1	1	1	1
OTU1304	1	1	1	1	1	1
OTU1305	0	1	0	0	1	0
OTU1306	0	1	0	0	1	1
OTU1307	0	0	0	0	1	0
OTU1308	0	0	0	0	1	0
OTU1309	0	1	0	1	1	1
OTU1310	1	1	0	0	0	0
OTU1311	0	1	0	1	1	1
OTU1312	1	1	0	0	0	0
OTU1313	0	0	1	0	0	0
OTU1314	1	1	1	1	1	1
OTU1315	1	1	1	1	1	1
OTU1316	1	1	1	1	1	1
OTU1317	1	1	1	1	1	1
OTU1318	1	1	1	1	1	1
OTU1319	0	0	0	0	0	1
OTU1320	1	1	1	1	1	1
OTU1321	1	1	1	1	1	1
OTU1322	1	1	0	1	1	1
OTU1323	1	1	1	1	1	1
OTU1324	1	0	0	0	0	1
OTU1325	1	1	0	0	1	1
OTU1326	0	1	1	1	1	1
OTU1327	0	0	0	0	0	1
OTU1328	1	1	1	1	0	1
OTU1329	0	0	0	0	1	1
OTU1330	1	1	1	0	1	1
OTU1331	0	1	0	0	0	1
OTU1332	0	1	0	0	0	1
OTU1333	1	1	0	1	1	1
OTU1334	0	1	0	0	1	1
OTU1335	1	1	1	1	1	1
OTU1336	1	1	1	1	0	1
OTU1337	1	0	0	0	0	0
OTU1338	1	1	0	0	0	0
OTU1339	1	1	1	0	0	1
OTU1340	1	1	1	1	1	1
OTU1341	0	0	0	1	0	0
OTU1342	1	0	0	0	0	0
OTU1343	0	1	0	0	0	0
OTU1344	1	1	0	0	0	1
OTU1345	1	1	1	1	1	1
OTU1346	1	1	1	0	1	1
OTU1347	0	0	0	0	0	1
OTU1348	0	1	0	1	0	0
OTU1349	0	0	0	0	1	0
OTU1350	0	0	0	0	0	0
OTU1351	1	1	1	1	1	1
OTU1352	1	1	1	1	1	1
OTU1353	1	1	1	1	1	1
OTU1354	1	1	1	1	1	1
OTU1355	1	1	1	1	1	1
OTU1356	1	1	1	1	1	1
OTU1357	1	1	0	1	1	1
OTU1358	0	0	0	1	0	0
OTU1359	1	1	1	1	1	1
OTU1360	0	0	0	0	0	0
OTU1361	1	1	1	1	1	1
OTU1362	0	0	0	0	0	0
OTU1363	0	0	0	0	0	1
OTU1364	1	1	1	1	1	1
OTU1365	1	1	0	0	0	1
OTU1366	0	0	0	0	0	1
OTU1367	0	1	0	0	0	1
OTU1368	0	1	0	1	0	1
OTU1369	1	1	0	0	0	1
OTU1370	0	0	0	1	0	0
OTU1371	1	1	1	1	1	1
OTU1372	1	1	0	0	0	1
OTU1373	0	0	1	0	0	1
OTU1374	0	0	1	0	0	0
OTU1375	1	0	0	0	0	1
OTU1376	1	1	1	1	1	1
OTU1377	1	1	1	1	1	1
OTU1378	1	1	1	1	1	1
OTU1379	0	1	0	0	1	0
OTU1380	0	0	0	0	1	1
OTU1381	0	0	0	0	0	1
OTU1382	1	0	0	0	0	0
OTU1383	1	1	1	1	1	1
OTU1384	1	0	0	0	0	0
OTU1385	0	0	0	0	1	0
OTU1386	1	1	0	0	1	1
OTU1387	1	0	0	0	0	0
OTU1388	0	1	0	0	1	1
OTU1389	1	1	1	1	1	1
OTU1390	0	1	0	0	1	1
OTU1391	1	1	1	1	1	1
OTU1392	0	1	1	0	1	1
OTU1393	1	1	1	1	1	1
OTU1394	0	1	0	0	1	1
OTU1395	1	1	1	0	0	1
OTU1396	0	0	1	0	0	0
OTU1397	1	1	1	0	1	1
OTU1398	0	0	0	0	0	1
OTU1399	1	1	1	0	1	1
OTU1400	0	1	0	0	0	1
OTU1401	0	1	1	0	1	1
OTU1402	1	1	1	0	1	1
OTU1403	0	0	0	0	0	1
OTU1404	1	1	0	0	1	1
OTU1405	0	0	0	0	0	1
OTU1406	0	1	0	0	0	1
OTU1407	1	1	0	0	1	1
OTU1408	0	1	0	0	0	1
OTU1409	0	0	0	0	0	1
OTU1410	0	1	0	0	1	1
OTU1411	1	1	1	1	1	1
OTU1412	1	1	0	1	1	1
OTU1413	1	1	1	1	1	1
OTU1414	0	0	0	1	0	0
OTU1415	1	1	0	0	1	1
OTU1416	1	1	1	0	0	1
OTU1417	1	1	0	1	1	1
OTU1418	1	1	1	1	1	1
OTU1419	1	1	1	0	1	1
OTU1420	1	0	0	0	0	1
OTU1421	1	1	1	1	1	1
OTU1422	1	1	0	1	1	1
OTU1423	1	1	0	1	0	1
OTU1424	0	0	0	0	0	1
OTU1425	0	0	0	0	0	1
OTU1426	1	1	0	0	1	1
OTU1427	1	1	1	0	0	1
OTU1428	0	1	0	0	1	1
OTU1429	0	1	0	0	1	1
OTU1430	0	1	0	0	0	1
OTU1431	1	1	1	0	1	0
OTU1432	1	1	1	1	1	1
OTU1433	1	1	0	0	0	1
OTU1434	1	1	1	1	1	1
OTU1435	1	1	0	0	1	1
OTU1436	1	1	1	1	1	1
OTU1437	1	1	1	1	0	1
OTU1438	1	1	1	1	1	1
OTU1439	1	1	1	1	1	1
OTU1440	1	0	0	0	0	0
OTU1441	0	0	0	0	1	1
OTU1442	0	1	0	0	1	1
OTU1443	1	1	0	0	1	1
OTU1444	0	1	0	0	1	1
OTU1445	0	1	0	0	1	0
OTU1446	1	1	1	1	1	1
OTU1447	0	1	1	1	0	0
OTU1448	1	1	1	1	1	1
OTU1449	0	0	0	0	0	1
OTU1450	0	0	0	0	0	1
OTU1451	0	1	0	0	0	1
OTU1452	1	1	0	1	1	1
OTU1453	0	1	0	0	1	0
OTU1454	0	0	0	1	0	0
OTU1455	0	0	0	0	0	1
